company_id,year,opm,net_profit_margin,roe,debt_to_equity,operating_cashflow_ratio
BEL,Mar 2015,16.622021711546594,16.875793035387,17100.0,3.7142857142857144,0.20217115465952348
BEL,Mar 2016,18.94207234158281,18.18058199619255,11141.666666666668,2.0833333333333335,0.3073157465324993
BEL,Mar 2017,20.70240295748614,17.594731977818853,10153.333333333334,1.9333333333333333,-0.007047134935304991
BEL,Mar 2018,19.603884241899816,13.758292471877704,4616.129032258064,1.5483870967741935,-0.06605134121719065
BEL,Mar 2019,23.914830647813222,15.512989148306477,3851.020408163265,0.9591836734693877,0.12446563630384742
BEL,Mar 2020,21.275447254781,14.073103022825418,3318.181818181818,0.8,0.19818013571869217
BEL,Mar 2021,22.779785952229073,14.88411652136934,3559.322033898305,0.8305084745762712,0.3609752640158764
BEL,Mar 2022,21.759500260281104,15.616866215512754,3478.260869565217,0.8405797101449275,0.273750650702759
BEL,Mar 2023,23.063042742754032,16.837712867937295,3981.333333333333,0.52,0.06761024021653321
BEL,Mar 2024,24.921057825143084,19.661535425300965,4744.047619047619,0.5119047619047619,0.22986974541148608
BHEL,Mar 2013,19.39144837740016,13.686276915526655,21.90906412648532,0.08831712985695113,0.035969163446005356
BOSCHLTD,Dec 2012,15.59071486314817,11.063633213996997,17.19002332675399,0.041270410909743406,0.1005889825614967
BOSCHLTD,Mar 2015,16.390865464173423,11.070660268078768,18.211514904042467,0.015108207431604737,0.11550554360417012
BOSCHLTD,Mar 2016,19.3588289867024,15.781878156891041,16.056633455689564,0.005243838489774515,0.13586228223894445
BOSCHLTD,Mar 2017,18.811691423095354,16.684235745088642,19.786339356745085,0.0,0.13962625778629612
BOSCHLTD,Mar 2019,17.823748448489862,13.223003723624327,17.508491289580366,0.0,0.049069093918080266
BOSCHLTD,Mar 2024,12.524660728164047,14.886112273569676,20.639920424403183,0.003232758620689655,0.07490883003527231
BPCL,Mar 2014,3.5602316003645704,1.5327829484042492,20.848765432098766,1.705349794238683,0.03626035753589919
BPCL,Mar 2015,4.031360522345609,2.0948235352311233,22.524598883077743,1.1298643737257335,0.08549946825612742
BPCL,Mar 2016,6.906264142906584,4.306897745121529,29.103403612290425,0.8414765776786357,0.05920187418470303
BPCL,Mar 2017,6.84866162155716,4.723951682227666,30.847853596807163,1.1591875141957884,0.04492400037763788
BPCL,Mar 2018,6.493143135717163,4.150999385319739,26.740216827330077,1.0284005570878505,0.04691918014370801
BPCL,Mar 2019,5.067297955241997,2.859576294488073,21.999226106023475,1.1566877337804722,0.03405806334793077
BPCL,Mar 2021,9.124086005621908,7.524840227483046,32.340584445896745,1.0182429278312015,0.10190249857714481
BPCL,Mar 2022,5.518309298684223,3.3685995311297003,22.50650226375108,1.243309893073885,0.058640506818227696
BPCL,Mar 2024,9.837909494446341,5.994201967046283,35.511337343822305,0.7218747934157467,0.08019942733823868
BRITANNIA,Mar 2013,6.806790622473727,4.203718674211803,46.59498207885305,0.6810035842293907,0.05173807599029911
BRITANNIA,Mar 2014,9.069868363951974,5.713872414291914,49.49874686716792,0.18796992481203006,0.09706350354404744
BRITANNIA,Mar 2015,11.071519470603207,8.768134385339781,55.34136546184739,0.11646586345381527,0.07431916518198015
BRITANNIA,Mar 2016,14.576634512325832,9.824937477670597,39.4359464627151,0.06261950286806883,0.11420745504346791
BRITANNIA,Mar 2017,14.115308151093439,9.774685222001326,32.826409495548965,0.046364985163204746,0.048707753479125246
BRITANNIA,Mar 2018,15.14020576961872,10.127092999798265,29.47739283617146,0.05901350557839107,0.1259834577365342
BRITANNIA,Mar 2019,15.66711895070104,10.44776119402985,27.157300728897248,0.03667999059487421,0.10456806874717323
BRITANNIA,Mar 2020,15.887931034482758,12.017241379310345,31.66023166023166,0.3493072904837611,0.12801724137931034
BRITANNIA,Mar 2021,19.10018270401949,14.091047503045068,52.17023675310034,0.5980834272829764,0.1428136419001218
BRITANNIA,Mar 2022,15.570175438596493,10.724391624221845,59.26505082095387,0.9698983580922595,0.0919637804187889
BRITANNIA,Mar 2023,17.36703269738053,14.207717317955954,65.53480475382003,0.8480475382003395,0.15495981841604808
BRITANNIA,Mar 2024,18.886039716142882,12.725863199952292,54.14869322506978,0.5239786856127886,0.15343789134712862
CANBK,Mar 2024,41.753906568101414,13.935160470145405,16.716051794688113,14.867419925542423,0.13613948732797077
CHOLAFIN,Mar 2013,26.770428015564203,11.98443579766537,15.778688524590164,7.822233606557377,-1.4607003891050583
